Model,F1_mean,F1_std,AUC_mean
Logistic Regression,0.9107694432247778,0.020987131280689134,0.9643257469873653
Random Forest (30f),0.9211252905749533,0.020906873579916482,0.9757761923635883
XGBoost,0.9215116054488285,0.020353304412905036,0.9739818233653895
