Model,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std
Logistic Regression,0.9066016991504249,0.02012255157004302,0.9073918779700029,0.03422748830556159,0.907803992740472,0.03747228857418875,0.9066448946193818,0.020504173642612544,0.9692867722218745,0.012441328224450012
Random Forest (30f),0.9296901549225388,0.0234632039676828,0.943113938685004,0.027940521710696244,0.9159709618874774,0.047364879749836275,0.9283211125590024,0.024870208150304093,0.9815949405817357,0.009252576932483339
XGBoost (30f),0.921014492753623,0.020124416925599752,0.9238637346717264,0.031126218107604905,0.9193789070377091,0.03903096191112113,0.920727997717483,0.020593089489582626,,
KNN,0.9089155422288856,0.028770017885680496,0.9063486067834599,0.028128118528433027,0.9124621899576527,0.03790482976526977,0.9091086663086152,0.029146475492489245,0.9700462760150474,0.015317358640006872
