Variable_1,Variable_2,Correlacion,Correlacion_Abs
Peso (Kg),IMC,0.9015433566869746,0.9015433566869746
Cadera (pulg),Cintura (pulg),0.8741798639495479,0.8741798639495479
LH (mUI/mL),Ratio FSH/LH,-0.8505581435069658,0.8505581435069658
Num Folículos (I),Num Folículos (D),0.7993590212814681,0.7993590212814681
