Model,TN,FP,FN,TP,Sensibilidad,Especificidad,PPV,NPV,F1
Logistic Regression,63,10,4,31,0.8857142857142857,0.863013698630137,0.7560975609756098,0.9402985074626866,0.8157894736842105
Random Forest,67,6,7,28,0.8,0.9178082191780822,0.8235294117647058,0.9054054054054054,0.8115942028985508
XGBoost,66,7,6,29,0.8285714285714286,0.9041095890410958,0.8055555555555556,0.9166666666666666,0.8169014084507042
