C,n_features,cv_accuracy
0.001,0,0.5
0.01,1,0.8357421289355322
0.1,13,0.8979610194902549
0.5,17,0.9014842578710643
1.0,18,0.9049475262368816
5.0,18,0.906686656671664
10.0,18,0.9084257871064467
