n_features,cv_f1_mean,cv_f1_std,test_f1,test_accuracy
10,0.9303159864854094,0.027742140141149143,0.8108108108108109,0.8703703703703703
15,0.924990593749078,0.04016826233427141,0.7945205479452054,0.8611111111111112
20,0.925649260514916,0.04157143989476146,0.8333333333333334,0.8888888888888888
25,0.932696404271842,0.02097168152441286,0.8450704225352113,0.8981481481481481
30,0.9239597150577253,0.03541269816988791,0.8732394366197183,0.9166666666666666
