Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8888888888888888,0.7804878048780488,0.9142857142857143,0.8421052631578947,0.9483365949119373
Random Forest (30f),0.9259259259259259,0.9090909090909091,0.8571428571428571,0.8823529411764706,0.9471624266144814
XGBoost (41f),0.9259259259259259,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9483365949119374
XGBoost (30f),0.9259259259259259,0.9090909090909091,0.8571428571428571,0.8823529411764706,0.95146771037182
KNN,0.8240740740740741,0.7,0.8,0.7466666666666667,0.9050880626223092
