Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8703703703703703,0.7560975609756098,0.8857142857142857,0.8157894736842105,0.9385518590998043
Random Forest,0.8796296296296297,0.8055555555555556,0.8285714285714286,0.8169014084507042,0.9397260273972603
XGBoost,0.8796296296296297,0.8055555555555556,0.8285714285714286,0.8169014084507042,0.949119373776908
KNN,0.8148148148148148,0.6666666666666666,0.8571428571428571,0.75,0.889628180039139
