Var1,Var2,Correlacion,Abs_Corr
Weight (Kg),BMI,0.9015433566869746,0.9015433566869746
Waist(inch),Hip(inch),0.8741798639495479,0.8741798639495479
Follicle No. (L),Follicle No. (R),0.7993590212814681,0.7993590212814681
