,Número Abortos,Duración Ciclo (días),Años Casada,Num Folículos (I),Num Folículos (D),Edad (años),Peso (Kg),Altura (cm),IMC,Frecuencia Cardiaca (lpm),Frecuencia Respiratoria (rpm),Hemoglobina (g/dl),beta-HCG I (mUI/mL),beta-HCG II (mUI/mL),FSH (mUI/mL),LH (mUI/mL),Ratio FSH/LH,Cadera (pulg),Cintura (pulg),Ratio Cintura-Cadera,TSH (mUI/L),AMH (ng/mL),Prolactina (ng/mL),Vitamina D3 (ng/mL),Progesterona (ng/mL),Glucosa (mg/dl),Presión Sistólica (mmHg),Presión Diastólica (mmHg),Tamaño Folículo Prom (I) (mm),Tamaño Folículo Prom (D) (mm),Endometrio (mm)
TSH (mUI/L),0.05909510675287934,-0.004820962283805552,0.006543324198912065,0.008601258465609694,0.01779608157253473,0.06709234523694013,0.047455143160609205,0.016015923453535804,0.047457358185592165,-0.039784964251657645,0.017957463756351457,-0.025867819751746676,-0.05610360333952386,-0.06427160424891569,-0.021693578764446005,0.02773004200198434,-0.050559704630736196,-0.0008062919577456646,-0.01556441142780871,-0.027619160803572008,1.0,0.024787074630768173,0.005383618803712932,-0.056343097518446746,-0.03285953477409742,-0.018694063376311187,0.04173305530944697,0.04306614008682982,-0.01836416859538869,-0.031267802759230835,-0.024925174343719974
AMH (ng/mL),-0.0523044958302062,-0.08815861697317794,-0.1474241623930141,0.22073025644143773,0.19730675947317147,-0.19301277323998178,0.03565445322016126,-0.0520275354893966,0.062176544938219336,-0.05308083098017425,-0.02608020715100697,0.041931600197963076,0.0188324062580166,0.05607487258821219,0.0498059675035227,0.2418537265579064,-0.07605933913402392,-0.0634483179463072,-0.04623984293542851,0.04435755095443832,0.024787074630768173,1.0,-0.06883189561754724,-0.05814753999850493,-0.011275377736824108,0.030681798798842676,-0.013834736579965963,0.023061727435818954,0.13112409563887392,0.09093147543782479,0.11032602839606924
Prolactina (ng/mL),-0.062005540493056024,0.015637753317155497,-0.026939752834783316,-0.008389394273382516,-0.006472255630950724,-0.04795433728014552,-0.048187101414581233,-0.014637024136905374,-0.04708191831689103,0.022560418109455364,0.008694698402061782,-0.05995330378029571,-0.012532533449590608,-0.047041657543861415,-0.0018374641996156157,0.020761145207222536,-0.00012660803011934005,-0.07986906368195959,-0.03496991203058033,0.09145078283417955,0.005383618803712932,-0.06883189561754724,1.0,-0.04341202212658106,-0.009271034733970967,-0.04088731675993297,-0.010753996616425785,-0.02534718068501579,0.08519892150125818,0.07126720700215,0.030930852569870743
Vitamina D3 (ng/mL),-0.017272954809095763,0.02568909807207699,0.046568066947050325,0.07089713298602779,0.08674967186114355,-0.004269817204379813,-0.06328626900845165,-0.045340323377808044,-0.04600999109186789,0.032798283375085655,0.04666638876928236,0.06928277991465634,-0.020733787731537046,0.038683231658394206,0.012882396198741144,-0.0170652043302746,0.12412380629264472,0.04887098944884143,-0.011212186028425724,-0.11946310420073697,-0.056343097518446746,-0.05814753999850493,-0.04341202212658106,1.0,-0.05406558963132836,-0.024321493459702623,-0.019639505912332447,-0.03204589397812178,-0.09103551309395662,-0.1550052817177687,0.013265056604813783
Progesterona (ng/mL),-0.023988734008156577,0.007297364221723831,-0.05270491670821524,0.01873468289964673,0.031638859650527706,-0.021852774248454707,0.0695080906324375,0.049734810588528314,0.049781385789725206,-0.01779860555955024,-0.07721127323408743,0.06547951854563386,-0.0029403275756871663,0.034722557947668105,0.004649334398525633,0.0005105849527508914,-0.009366806601826086,0.04993571979004795,0.029171928203604945,-0.036930496745417145,-0.03285953477409742,-0.011275377736824108,-0.009271034733970967,-0.05406558963132836,1.0,-0.003477707751599462,-0.021064152629815935,0.032409567379896205,-0.0405141124444553,-0.04065110863903949,-0.04801328208429339
Glucosa (mg/dl),-0.013508041606735943,-0.0003009054118416009,0.07569734852053428,0.04321852741942941,0.027115247183965237,0.09662225514529123,0.11568503081111771,0.049246159647085924,0.09554164606509356,0.0410785383520591,0.050284915974799047,0.023530767710207175,-0.02385489122578605,-0.014925164290623745,-0.007051171924287753,0.023638336629470607,-0.08015351484249471,-0.0007579864157198739,0.012433320881603042,0.0240380090783149,-0.018694063376311187,0.030681798798842676,-0.04088731675993297,-0.024321493459702623,-0.003477707751599462,1.0,0.05355738445609573,-0.03245538046506879,-0.04912126981938983,0.011287232589285772,-0.016943087264996277
Presión Sistólica (mmHg),-0.0842884255294587,-0.011098098455743083,0.030730840902263485,0.04041382307212406,0.025865820214655486,0.07470231927131732,0.024671508420620224,-0.06864881274174564,0.06688248294420908,-0.02577736907051182,0.01662865764064924,0.04990414112642913,-0.08182506170329501,-0.07328586850616776,0.013896931101249827,-0.021799154995166735,-0.006522074214023835,-0.015076921255339923,0.03399799024069151,0.09215328408293912,0.04173305530944697,-0.013834736579965963,-0.010753996616425785,-0.019639505912332447,-0.021064152629815935,0.05355738445609573,1.0,0.10098982140059864,0.056884299183970026,0.043156119611517475,-0.022416936674401245
Presión Diastólica (mmHg),0.072971398546406,-0.0766861898523649,0.005841357027216354,0.027530288098148243,0.04032835140321594,0.06830672338309428,0.1319486385022226,0.01139113401230073,0.14055927236454874,0.0094352802330101,0.055029819486621466,0.004039435137875585,0.004597569425922918,-0.007434396218281639,-0.01732336014838516,0.01339273207395539,-0.00950897437143481,0.10616927840943181,0.12589562933882928,0.041742962684176196,0.04306614008682982,0.023061727435818954,-0.02534718068501579,-0.03204589397812178,0.032409567379896205,-0.03245538046506879,0.10098982140059864,1.0,0.03724951636718047,0.02461913163378908,-0.012060761843177965
Tamaño Folículo Prom (I) (mm),-0.05836179134450332,-0.05289530495991676,-0.08052984463788618,0.24563794085943788,0.15286501687325285,-0.020879435826548096,-0.01515296052251316,-0.025237955818430424,-0.0054938911436296445,-0.05068625904482551,-0.0330511450606219,0.03588845253453586,0.049475273518863834,-0.045978304890663575,-0.01673964088474517,-0.01793754164373003,0.04873256798996567,-0.07830388572892978,0.03182194183105232,0.22516687749726522,-0.01836416859538869,0.13112409563887392,0.08519892150125818,-0.09103551309395662,-0.0405141124444553,-0.04912126981938983,0.056884299183970026,0.03724951636718047,1.0,0.5177058668619338,-0.012291244341395632
Tamaño Folículo Prom (D) (mm),-0.11897710886257509,-0.014534362941318824,-0.10502079089977236,0.14506789743712806,0.18538776525528974,-0.08340490666959202,-0.06781239388192017,0.06102916567633251,-0.10624657920491605,-0.03597684520080152,-0.023219916669033506,0.02772457174407018,0.07149975385452054,-0.011167748427315837,0.004688272887448951,-0.02328966125987624,0.01651555210677003,-0.10052910327612598,-0.01479718644227852,0.17340549140133668,-0.031267802759230835,0.09093147543782479,0.07126720700215,-0.1550052817177687,-0.04065110863903949,0.011287232589285772,0.043156119611517475,0.02461913163378908,0.5177058668619338,1.0,-0.042866095671969785
Endometrio (mm),-0.06691069103550774,-0.015176118632667672,-0.1064764334114681,0.08147912604656851,0.08090252797370041,-0.1042271089360734,-0.012571603142211066,-0.05225324301474237,0.0058715149382297495,-0.04066813315819329,-0.06440936909050089,-0.06810098053373326,-0.051010543999030405,0.018600554808920946,0.014154892837005347,0.0207192497176903,-0.031158744219326334,0.02857180931999082,0.01424773215896027,-0.025087511963472055,-0.024925174343719974,0.11032602839606924,0.030930852569870743,0.013265056604813783,-0.04801328208429339,-0.016943087264996277,-0.022416936674401245,-0.012060761843177965,-0.012291244341395632,-0.042866095671969785,1.0
