Var1,Var2,Correlacion,Abs_Corr
Peso (Kg),IMC,0.9015433566869746,0.9015433566869746
Cadera (pulg),Cintura (pulg),0.8741798639495479,0.8741798639495479
Num Folículos (I),Num Folículos (D),0.7993590212814681,0.7993590212814681
